File;Status;Steps;Status with cuts;Steps with cuts
./yes/1.json;ok ;2096;ok ;2103
./yes/2.json;ok ;6968;ok ;6989
./yes/3.json;ok ;8276;ok ;8301
./yes/4.json;ok ;12718;ok ;12745
./yes/5.json;ok ;22993;ok ;23042
./yes/6.json;ok ;25439;ok ;25452
./yes/7.json;ok ;39700;ok ;39802
./yes/8.json;ok ;62971;ok ;63082
./yes/9.json;ok ;90022;ok ;90174
./no/1-00.json;fail;1539;error;1168
./no/1-01.json;fail;1521;error;1155
./no/1-02.json;fail;626;error;504
./no/1-03.json;fail;555;error;438
./no/1-04.json;fail;1524;error;1158
./no/1-05.json;fail;1536;error;1165
./no/1-06.json;fail;387;error;265
./no/1-07.json;fail;850;error;688
./no/1-08.json;fail;251;error;164
./no/1-09.json;fail;756;error;634
./no/11-00.json;fail;16083;error;15798
./no/11-01.json;fail;16572;error;16281
./no/11-02.json;fail;8752;error;8554
./no/11-03.json;fail;32929;error;32651
./no/11-04.json;fail;15434;error;15236
./no/11-05.json;fail;79227;error;78979
./no/11-06.json;fail;7162;error;6960
./no/11-07.json;fail;16091;error;15801
./no/11-08.json;fail;59350;error;59182
./no/11-09.json;fail;16088;error;15798
./no/12-00.json;fail;9000;error;8706
./no/12-01.json;fail;72083;error;71921
./no/12-02.json;fail;45338;error;45066
./no/12-03.json;fail;161189;error;161087
./no/12-04.json;fail;143859;error;143653
./no/12-05.json;fail;46135;error;46036
./no/12-06.json;fail;287775;error;287757
./no/12-07.json;fail;117518;error;117293
./no/12-08.json;fail;53990;error;53724
./no/12-09.json;fail;36499;error;36394
./no/13-00.json;fail;567536;error;567710
./no/13-01.json;fail;264618;error;264588
./no/13-02.json;fail;25969;error;25685
./no/13-03.json;fail;1710245;error;1711083
./no/13-04.json;fail;189030;error;189028
./no/13-05.json;fail;141460;error;141346
./no/13-06.json;fail;142079;error;141873
./no/13-07.json;fail;107563;error;107333
./no/13-08.json;fail;220480;error;220420
./no/13-09.json;fail;159577;error;159475
./no/2-00.json;fail;1302;error;1043
./no/2-01.json;fail;907;error;649
./no/2-02.json;fail;982;error;735
./no/2-03.json;fail;1788;error;1530
./no/2-04.json;fail;767;error;526
./no/2-05.json;fail;2432;error;2176
./no/2-06.json;fail;1788;error;1530
./no/2-07.json;fail;907;error;649
./no/2-08.json;fail;907;error;654
./no/2-09.json;fail;902;error;649
./no/3-00.json;fail;2958;error;2573
./no/3-01.json;fail;6330;error;5468
./no/3-02.json;fail;3060;error;2554
./no/3-03.json;fail;796;error;640
./no/3-04.json;fail;1514;error;1116
./no/3-05.json;fail;3007;error;2569
./no/3-06.json;fail;2992;error;2554
./no/3-07.json;fail;6201;error;5384
./no/3-08.json;fail;3093;error;2542
./no/3-09.json;fail;4198;error;3692
./no/4-00.json;fail;2227;error;1833
./no/4-01.json;fail;2227;error;1838
./no/4-02.json;fail;3011;error;2752
./no/4-03.json;fail;2222;error;1833
./no/4-04.json;fail;3105;error;2710
./no/4-05.json;fail;2237;error;1843
./no/4-06.json;fail;2025;error;1631
./no/4-07.json;fail;1536;error;1237
./no/4-08.json;fail;6256;error;5668
./no/4-09.json;fail;2229;error;1835
./no/5-00.json;fail;5700;error;5020
./no/5-01.json;fail;808;error;652
./no/5-02.json;fail;6712;error;6325
./no/5-03.json;fail;5468;error;5079
./no/5-04.json;fail;3028;error;2637
./no/5-05.json;fail;7405;error;6872
./no/5-06.json;fail;3028;error;2637
./no/5-07.json;fail;5458;error;5074
./no/5-08.json;fail;7298;error;6881
./no/5-09.json;fail;1706;error;1437
./no/6-00.json;fail;15770;error;15316
./no/6-01.json;fail;10424;error;9970
./no/6-02.json;fail;7005;error;6551
./no/6-03.json;fail;15762;error;15308
./no/6-04.json;fail;15757;error;15308
./no/6-05.json;fail;15782;error;15328
./no/6-06.json;fail;138;error;101
./no/6-07.json;fail;6565;error;6111
./no/6-08.json;fail;15762;error;15308
./no/6-09.json;fail;9840;error;9386
./no/7-00.json;fail;6090;error;5541
./no/7-01.json;fail;4999;error;4495
./no/7-02.json;fail;2528;error;2020
./no/7-03.json;fail;9493;error;9252
./no/7-04.json;fail;13164;error;12837
./no/7-05.json;fail;1266;error;824
./no/7-06.json;fail;9590;error;9233
./no/7-07.json;fail;2364;error;1972
./no/7-08.json;fail;5865;error;5616
./no/7-09.json;fail;5964;error;5579
./no/8-00.json;fail;10880;error;10466
./no/8-01.json;fail;1997;error;1603
./no/8-02.json;fail;4566;error;4143
./no/8-03.json;fail;12119;error;11738
./no/8-04.json;fail;6559;error;6306
./no/8-05.json;fail;3644;error;3210
./no/8-06.json;fail;19164;error;18931
./no/8-07.json;fail;4566;error;4143
./no/8-08.json;fail;4561;error;4138
./no/8-09.json;fail;3980;error;3587
./no/9-00.json;fail;4993;error;4600
./no/9-01.json;fail;5880;error;5448
./no/9-02.json;fail;809;error;613
./no/9-03.json;fail;11982;error;11598
./no/9-04.json;fail;8920;error;8776
./no/9-05.json;fail;40173;error;39801
./no/9-06.json;fail;6863;error;6442
./no/9-07.json;fail;25571;error;25303
./no/9-08.json;fail;5262;error;4869
./no/9-09.json;fail;6863;error;6442
